SUID,cluster2_Adj_cyto.csv,inter,interaction,name,selected,shared interaction,shared name,
247,1.5507152541,,interacts with,Moraxella (interacts with) PIV3,false,interacts with,Moraxella (interacts with) PIV3,
248,-0.695014684,,interacts with,Moraxella (interacts with) Saccharomyces,false,interacts with,Moraxella (interacts with) Saccharomyces,
249,-1.2763382588,,interacts with,Moraxella (interacts with) Cryptococcus,false,interacts with,Moraxella (interacts with) Cryptococcus,
250,1.0880002285,,interacts with,Moraxella (interacts with) Candida,false,interacts with,Moraxella (interacts with) Candida,
251,2.7980774864,,interacts with,Moraxella (interacts with) Aspergillus,false,interacts with,Moraxella (interacts with) Aspergillus,
252,-1.0800111664,,interacts with,Moraxella (interacts with) Klebsiella,false,interacts with,Moraxella (interacts with) Klebsiella,
253,2.7416505413,,interacts with,Moraxella (interacts with) Veillonella,false,interacts with,Moraxella (interacts with) Veillonella,
254,-0.8636158222,,interacts with,Moraxella (interacts with) Streptococcus,false,interacts with,Moraxella (interacts with) Streptococcus,
255,1.3747306466,,interacts with,Moraxella (interacts with) Rothia,false,interacts with,Moraxella (interacts with) Rothia,
256,1.8177561765,,interacts with,Moraxella (interacts with) Prevotella,false,interacts with,Moraxella (interacts with) Prevotella,
257,5.4802425147,,interacts with,Moraxella (interacts with) Porphyromonas,false,interacts with,Moraxella (interacts with) Porphyromonas,
258,0.692244356,,interacts with,Moraxella (interacts with) Neisseria,false,interacts with,Moraxella (interacts with) Neisseria,
259,1.1113321984,,interacts with,Moraxella (interacts with) Leptotrichia,false,interacts with,Moraxella (interacts with) Leptotrichia,
260,-1.8589610023,,interacts with,Moraxella (interacts with) Haemophilus,false,interacts with,Moraxella (interacts with) Haemophilus,
261,3.9143900262,,interacts with,Moraxella (interacts with) Granulicatella,false,interacts with,Moraxella (interacts with) Granulicatella,
